source,target,value,source_label,target_label,step_from,step_to
0,5,2,User Namespace Edits,Unknown,1,2
2,5,19,Talk Namespace Edits,Unknown,1,2
3,5,3,User Talk Namespace Edits,Unknown,1,2
4,5,34,Content Namespace Edits,Unknown,1,2
0,5,10,User Namespace Edits,Unknown,1,2
2,5,12,Talk Namespace Edits,Unknown,1,2
3,5,30,User Talk Namespace Edits,Unknown,1,2
4,5,349,Content Namespace Edits,Unknown,1,2
0,6,40,User Namespace Edits,Male,1,2
2,6,11,Talk Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,94,Content Namespace Edits,Male,1,2
0,6,2,User Namespace Edits,Male,1,2
1,6,137,Wikipedia Namespace Edits,Male,1,2
2,6,51,Talk Namespace Edits,Male,1,2
3,6,39,User Talk Namespace Edits,Male,1,2
4,6,1329,Content Namespace Edits,Male,1,2
6,8,1,Male,Edits in Pages related to Women,2,3
0,6,34,User Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,53,Content Namespace Edits,Male,1,2
0,5,15,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
2,5,21,Talk Namespace Edits,Unknown,1,2
3,5,7,User Talk Namespace Edits,Unknown,1,2
4,5,121,Content Namespace Edits,Unknown,1,2
0,6,104,User Namespace Edits,Male,1,2
1,6,2073,Wikipedia Namespace Edits,Male,1,2
2,6,204,Talk Namespace Edits,Male,1,2
3,6,1815,User Talk Namespace Edits,Male,1,2
4,6,4852,Content Namespace Edits,Male,1,2
6,8,6,Male,Edits in Pages related to Women,2,3
0,6,14,User Namespace Edits,Male,1,2
2,6,3,Talk Namespace Edits,Male,1,2
4,6,182,Content Namespace Edits,Male,1,2
6,8,10,Male,Edits in Pages related to Women,2,3
0,5,28,User Namespace Edits,Unknown,1,2
4,5,183,Content Namespace Edits,Unknown,1,2
0,5,21,User Namespace Edits,Unknown,1,2
1,5,3,Wikipedia Namespace Edits,Unknown,1,2
2,5,60,Talk Namespace Edits,Unknown,1,2
3,5,10,User Talk Namespace Edits,Unknown,1,2
4,5,2921,Content Namespace Edits,Unknown,1,2
0,5,28,User Namespace Edits,Unknown,1,2
4,5,28,Content Namespace Edits,Unknown,1,2
0,6,1,User Namespace Edits,Male,1,2
2,6,10,Talk Namespace Edits,Male,1,2
3,6,3,User Talk Namespace Edits,Male,1,2
4,6,140,Content Namespace Edits,Male,1,2
0,5,19,User Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,12,User Talk Namespace Edits,Unknown,1,2
4,5,88,Content Namespace Edits,Unknown,1,2
0,6,25,User Namespace Edits,Male,1,2
1,6,4,Wikipedia Namespace Edits,Male,1,2
3,6,7,User Talk Namespace Edits,Male,1,2
4,6,40,Content Namespace Edits,Male,1,2
0,7,7,User Namespace Edits,Female,1,2
3,7,26,User Talk Namespace Edits,Female,1,2
4,7,120,Content Namespace Edits,Female,1,2
0,6,6,User Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
3,6,7,User Talk Namespace Edits,Male,1,2
4,6,220,Content Namespace Edits,Male,1,2
0,6,15,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
3,6,3,User Talk Namespace Edits,Male,1,2
4,6,36,Content Namespace Edits,Male,1,2
0,6,13,User Namespace Edits,Male,1,2
1,6,3,Wikipedia Namespace Edits,Male,1,2
2,6,12,Talk Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,178,Content Namespace Edits,Male,1,2
0,5,20,User Namespace Edits,Unknown,1,2
1,5,115,Wikipedia Namespace Edits,Unknown,1,2
2,5,319,Talk Namespace Edits,Unknown,1,2
3,5,57,User Talk Namespace Edits,Unknown,1,2
4,5,5196,Content Namespace Edits,Unknown,1,2
0,5,8,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
4,5,48,Content Namespace Edits,Unknown,1,2
0,5,1,User Namespace Edits,Unknown,1,2
4,5,748,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
1,6,22,Wikipedia Namespace Edits,Male,1,2
2,6,17,Talk Namespace Edits,Male,1,2
3,6,10,User Talk Namespace Edits,Male,1,2
4,6,118,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
4,5,54,Content Namespace Edits,Unknown,1,2
0,5,47,User Namespace Edits,Unknown,1,2
1,5,7,Wikipedia Namespace Edits,Unknown,1,2
2,5,2,Talk Namespace Edits,Unknown,1,2
3,5,13,User Talk Namespace Edits,Unknown,1,2
4,5,288,Content Namespace Edits,Unknown,1,2
0,6,5,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,98,Content Namespace Edits,Male,1,2
0,6,116,User Namespace Edits,Male,1,2
3,6,5,User Talk Namespace Edits,Male,1,2
4,6,36,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,4,Wikipedia Namespace Edits,Unknown,1,2
3,5,4,User Talk Namespace Edits,Unknown,1,2
4,5,64,Content Namespace Edits,Unknown,1,2
0,5,96,User Namespace Edits,Unknown,1,2
1,5,16,Wikipedia Namespace Edits,Unknown,1,2
2,5,44,Talk Namespace Edits,Unknown,1,2
3,5,26,User Talk Namespace Edits,Unknown,1,2
4,5,1473,Content Namespace Edits,Unknown,1,2
0,7,3,User Namespace Edits,Female,1,2
1,7,9,Wikipedia Namespace Edits,Female,1,2
2,7,7,Talk Namespace Edits,Female,1,2
3,7,12,User Talk Namespace Edits,Female,1,2
4,7,247,Content Namespace Edits,Female,1,2
0,5,2,User Namespace Edits,Unknown,1,2
1,5,27,Wikipedia Namespace Edits,Unknown,1,2
2,5,11,Talk Namespace Edits,Unknown,1,2
3,5,21,User Talk Namespace Edits,Unknown,1,2
4,5,1264,Content Namespace Edits,Unknown,1,2
0,5,3,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
2,5,10,Talk Namespace Edits,Unknown,1,2
4,5,70,Content Namespace Edits,Unknown,1,2
0,6,5,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
4,6,218,Content Namespace Edits,Male,1,2
0,5,7,User Namespace Edits,Unknown,1,2
1,5,4,Wikipedia Namespace Edits,Unknown,1,2
2,5,18,Talk Namespace Edits,Unknown,1,2
3,5,10,User Talk Namespace Edits,Unknown,1,2
4,5,17,Content Namespace Edits,Unknown,1,2
0,6,48,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
3,6,43,User Talk Namespace Edits,Male,1,2
4,6,89,Content Namespace Edits,Male,1,2
0,6,1,User Namespace Edits,Male,1,2
1,6,5,Wikipedia Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,30,User Talk Namespace Edits,Male,1,2
4,6,97,Content Namespace Edits,Male,1,2
0,6,45,User Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
3,6,48,User Talk Namespace Edits,Male,1,2
4,6,27,Content Namespace Edits,Male,1,2
0,6,3,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
4,6,695,Content Namespace Edits,Male,1,2
0,5,160,User Namespace Edits,Unknown,1,2
1,5,142,Wikipedia Namespace Edits,Unknown,1,2
2,5,135,Talk Namespace Edits,Unknown,1,2
3,5,60,User Talk Namespace Edits,Unknown,1,2
4,5,1979,Content Namespace Edits,Unknown,1,2
0,5,2,User Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,4,User Talk Namespace Edits,Unknown,1,2
4,5,233,Content Namespace Edits,Unknown,1,2
0,5,1,User Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
4,5,279,Content Namespace Edits,Unknown,1,2
0,5,41,User Namespace Edits,Unknown,1,2
1,5,26,Wikipedia Namespace Edits,Unknown,1,2
3,5,128,User Talk Namespace Edits,Unknown,1,2
4,5,1835,Content Namespace Edits,Unknown,1,2
0,5,1,User Namespace Edits,Unknown,1,2
3,5,1,User Talk Namespace Edits,Unknown,1,2
4,5,72,Content Namespace Edits,Unknown,1,2
0,5,41,User Namespace Edits,Unknown,1,2
1,5,16,Wikipedia Namespace Edits,Unknown,1,2
2,5,7,Talk Namespace Edits,Unknown,1,2
3,5,5,User Talk Namespace Edits,Unknown,1,2
4,5,156,Content Namespace Edits,Unknown,1,2
0,6,13,User Namespace Edits,Male,1,2
1,6,7,Wikipedia Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,112,User Talk Namespace Edits,Male,1,2
4,6,164,Content Namespace Edits,Male,1,2
0,6,63,User Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
4,6,27,Content Namespace Edits,Male,1,2
0,5,15,User Namespace Edits,Unknown,1,2
1,5,3,Wikipedia Namespace Edits,Unknown,1,2
2,5,35,Talk Namespace Edits,Unknown,1,2
3,5,12,User Talk Namespace Edits,Unknown,1,2
4,5,328,Content Namespace Edits,Unknown,1,2
0,6,6,User Namespace Edits,Male,1,2
1,6,8,Wikipedia Namespace Edits,Male,1,2
3,6,26,User Talk Namespace Edits,Male,1,2
4,6,74,Content Namespace Edits,Male,1,2
0,6,12,User Namespace Edits,Male,1,2
2,6,7,Talk Namespace Edits,Male,1,2
4,6,136,Content Namespace Edits,Male,1,2
0,5,4,User Namespace Edits,Unknown,1,2
4,5,179,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
1,6,8,Wikipedia Namespace Edits,Male,1,2
3,6,9,User Talk Namespace Edits,Male,1,2
4,6,50,Content Namespace Edits,Male,1,2
0,6,4,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
2,6,301,Talk Namespace Edits,Male,1,2
3,6,10,User Talk Namespace Edits,Male,1,2
4,6,4103,Content Namespace Edits,Male,1,2
0,6,15,User Namespace Edits,Male,1,2
1,6,4,Wikipedia Namespace Edits,Male,1,2
2,6,13,Talk Namespace Edits,Male,1,2
3,6,43,User Talk Namespace Edits,Male,1,2
4,6,657,Content Namespace Edits,Male,1,2
0,5,56,User Namespace Edits,Unknown,1,2
1,5,15,Wikipedia Namespace Edits,Unknown,1,2
2,5,91,Talk Namespace Edits,Unknown,1,2
3,5,93,User Talk Namespace Edits,Unknown,1,2
4,5,2432,Content Namespace Edits,Unknown,1,2
0,6,28,User Namespace Edits,Male,1,2
2,6,56,Talk Namespace Edits,Male,1,2
3,6,15,User Talk Namespace Edits,Male,1,2
4,6,337,Content Namespace Edits,Male,1,2
0,6,55,User Namespace Edits,Male,1,2
1,6,44,Wikipedia Namespace Edits,Male,1,2
2,6,25,Talk Namespace Edits,Male,1,2
3,6,46,User Talk Namespace Edits,Male,1,2
4,6,967,Content Namespace Edits,Male,1,2
0,5,40,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,4,User Talk Namespace Edits,Unknown,1,2
4,5,394,Content Namespace Edits,Unknown,1,2
0,5,10,User Namespace Edits,Unknown,1,2
2,5,1,Talk Namespace Edits,Unknown,1,2
4,5,85,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
2,6,7,Talk Namespace Edits,Male,1,2
4,6,134,Content Namespace Edits,Male,1,2
0,6,311,User Namespace Edits,Male,1,2
1,6,51,Wikipedia Namespace Edits,Male,1,2
2,6,110,Talk Namespace Edits,Male,1,2
3,6,114,User Talk Namespace Edits,Male,1,2
4,6,5744,Content Namespace Edits,Male,1,2
0,5,11,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,77,Content Namespace Edits,Unknown,1,2
0,6,3,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
2,6,65,Talk Namespace Edits,Male,1,2
3,6,55,User Talk Namespace Edits,Male,1,2
4,6,272,Content Namespace Edits,Male,1,2
0,6,78,User Namespace Edits,Male,1,2
1,6,18,Wikipedia Namespace Edits,Male,1,2
2,6,9,Talk Namespace Edits,Male,1,2
3,6,8,User Talk Namespace Edits,Male,1,2
4,6,64,Content Namespace Edits,Male,1,2
0,6,55,User Namespace Edits,Male,1,2
1,6,84,Wikipedia Namespace Edits,Male,1,2
2,6,63,Talk Namespace Edits,Male,1,2
3,6,56,User Talk Namespace Edits,Male,1,2
4,6,3794,Content Namespace Edits,Male,1,2
0,5,33,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,4,Talk Namespace Edits,Unknown,1,2
4,5,72,Content Namespace Edits,Unknown,1,2
0,5,76,User Namespace Edits,Unknown,1,2
1,5,207,Wikipedia Namespace Edits,Unknown,1,2
2,5,4,Talk Namespace Edits,Unknown,1,2
3,5,130,User Talk Namespace Edits,Unknown,1,2
4,5,3440,Content Namespace Edits,Unknown,1,2
0,6,53,User Namespace Edits,Male,1,2
0,5,12,User Namespace Edits,Unknown,1,2
1,5,9,Wikipedia Namespace Edits,Unknown,1,2
2,5,113,Talk Namespace Edits,Unknown,1,2
3,5,45,User Talk Namespace Edits,Unknown,1,2
4,5,319,Content Namespace Edits,Unknown,1,2
5,8,1,Unknown,Edits in Pages related to Women,2,3
0,6,14,User Namespace Edits,Male,1,2
1,6,13,Wikipedia Namespace Edits,Male,1,2
2,6,3,Talk Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,402,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,33,Wikipedia Namespace Edits,Unknown,1,2
0,6,138,User Namespace Edits,Male,1,2
1,6,16,Wikipedia Namespace Edits,Male,1,2
2,6,14,Talk Namespace Edits,Male,1,2
3,6,42,User Talk Namespace Edits,Male,1,2
4,6,608,Content Namespace Edits,Male,1,2
0,6,17,User Namespace Edits,Male,1,2
1,6,4,Wikipedia Namespace Edits,Male,1,2
2,6,5,Talk Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,129,Content Namespace Edits,Male,1,2
0,6,47,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
3,6,3,User Talk Namespace Edits,Male,1,2
4,6,30,Content Namespace Edits,Male,1,2
0,6,22,User Namespace Edits,Male,1,2
1,6,4,Wikipedia Namespace Edits,Male,1,2
2,6,11,Talk Namespace Edits,Male,1,2
3,6,26,User Talk Namespace Edits,Male,1,2
4,6,163,Content Namespace Edits,Male,1,2
0,6,77,User Namespace Edits,Male,1,2
1,6,3,Wikipedia Namespace Edits,Male,1,2
2,6,7,Talk Namespace Edits,Male,1,2
3,6,16,User Talk Namespace Edits,Male,1,2
4,6,1227,Content Namespace Edits,Male,1,2
0,5,19,User Namespace Edits,Unknown,1,2
1,5,7,Wikipedia Namespace Edits,Unknown,1,2
3,5,1,User Talk Namespace Edits,Unknown,1,2
4,5,75,Content Namespace Edits,Unknown,1,2
0,6,6,User Namespace Edits,Male,1,2
2,6,50,Talk Namespace Edits,Male,1,2
3,6,16,User Talk Namespace Edits,Male,1,2
4,6,510,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,4,Wikipedia Namespace Edits,Unknown,1,2
2,5,1,Talk Namespace Edits,Unknown,1,2
3,5,1,User Talk Namespace Edits,Unknown,1,2
4,5,284,Content Namespace Edits,Unknown,1,2
0,6,562,User Namespace Edits,Male,1,2
1,6,476,Wikipedia Namespace Edits,Male,1,2
2,6,128,Talk Namespace Edits,Male,1,2
3,6,1367,User Talk Namespace Edits,Male,1,2
4,6,2977,Content Namespace Edits,Male,1,2
0,5,10,User Namespace Edits,Unknown,1,2
4,5,43,Content Namespace Edits,Unknown,1,2
0,6,78,User Namespace Edits,Male,1,2
3,6,12,User Talk Namespace Edits,Male,1,2
4,6,366,Content Namespace Edits,Male,1,2
0,6,36,User Namespace Edits,Male,1,2
4,6,37,Content Namespace Edits,Male,1,2
0,6,14,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
2,6,3,Talk Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,29,Content Namespace Edits,Male,1,2
0,6,2,User Namespace Edits,Male,1,2
1,6,8,Wikipedia Namespace Edits,Male,1,2
2,6,3,Talk Namespace Edits,Male,1,2
3,6,8,User Talk Namespace Edits,Male,1,2
4,6,763,Content Namespace Edits,Male,1,2
0,6,141,User Namespace Edits,Male,1,2
1,6,241,Wikipedia Namespace Edits,Male,1,2
2,6,64,Talk Namespace Edits,Male,1,2
3,6,171,User Talk Namespace Edits,Male,1,2
4,6,5097,Content Namespace Edits,Male,1,2
0,6,63,User Namespace Edits,Male,1,2
1,6,3,Wikipedia Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,43,Content Namespace Edits,Male,1,2
6,9,4,Male,Edits in WikiProjects related to Women,2,3
0,7,41,User Namespace Edits,Female,1,2
1,7,6,Wikipedia Namespace Edits,Female,1,2
2,7,3,Talk Namespace Edits,Female,1,2
3,7,12,User Talk Namespace Edits,Female,1,2
4,7,64,Content Namespace Edits,Female,1,2
0,6,4,User Namespace Edits,Male,1,2
